,Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
66,Shingu,75,JP,1561503175,73,33.72,135.99,73.4,1.12
67,Sao Filipe,0,CV,1561503176,84,14.9,-24.5,74.77,18.79
68,Ballina,2,IE,1561503176,92,54.11,-9.15,57.99,18.01
69,Geraldton,75,CA,1561503176,77,49.72,-86.95,66.2,5.82
70,Ribeira Grande,38,PT,1561503177,73,38.52,-28.7,66.13,15.17
71,Faya,40,SA,1561503177,46,18.39,42.45,75.2,3.36
72,Kviteseid,99,NO,1561502958,93,59.4,8.49,54.0,1.54
73,Georgetown,20,GY,1561502912,74,6.8,-58.16,84.2,11.41
74,Khatanga,100,RU,1561503178,68,71.98,102.47,63.43,11.16
75,Punta Arenas,92,CL,1561503178,92,-53.16,-70.91,30.0,10.0
76,Baykit,92,RU,1561503178,40,61.68,96.39,69.37,1.79
77,East London,98,ZA,1561502963,90,-33.02,27.91,56.05,8.08
78,Saint-Pierre,0,FR,1561503179,88,48.95,4.24,71.6,3.36
79,Mahebourg,75,MU,1561503179,83,-20.41,57.7,73.4,10.29
80,Dingle,75,PH,1561503179,79,11.0,122.67,81.97,4.29
81,Saint-Georges,100,CA,1561502964,91,46.12,-70.67,60.01,14.14
82,Kahului,40,US,1561502938,48,20.89,-156.47,87.8,11.41
83,Aswan,0,EG,1561503180,16,24.09,32.9,96.8,9.17
84,Cape Town,0,ZA,1561503180,71,-33.93,18.42,60.01,9.17
85,Altamira,96,BR,1561503180,93,-3.2,-52.21,73.69,2.62
86,Lasa,0,CY,1561502965,69,34.92,32.53,78.8,8.05
87,Hilo,20,US,1561503181,54,19.71,-155.08,89.01,12.75
88,Abdulino,23,RU,1561503181,88,53.68,53.66,51.91,4.45
89,Batagay-Alyta,99,RU,1561503182,49,67.8,130.41,63.79,4.61
90,Shahrud,60,IR,1561502966,49,36.42,54.97,63.25,3.09
91,Tiksi,3,RU,1561503006,54,71.64,128.87,58.57,3.85
92,Vila Franca do Campo,40,PT,1561503037,77,37.72,-25.43,66.2,12.75
93,Belozerskoye,97,RU,1561503182,92,55.82,65.58,53.71,15.59
94,Hasaki,40,JP,1561503183,88,35.73,140.83,73.4,2.24
95,Barabai,11,ID,1561503183,85,-2.59,115.38,77.83,0.2
96,Bajram Curri,0,AL,1561503183,39,42.36,20.08,84.2,10.29
97,Santa Cruz,1,US,1561502981,27,36.97,-122.03,87.01,13.87
98,Kodiak,1,US,1561502969,51,39.95,-94.76,88.0,13.87
99,Chokurdakh,0,RU,1561503185,29,70.62,147.9,75.85,11.56
100,Chok Chai,100,TH,1561503185,66,14.73,102.17,86.0,4.36
101,College,75,US,1561503189,35,64.86,-147.8,75.0,4.7
102,Hervey Bay,75,AU,1561503189,93,-25.3,152.85,63.0,9.17
103,Dikson,49,RU,1561502970,84,73.51,80.55,33.19,17.72
104,Hofn,75,IS,1561502970,81,64.25,-15.21,41.29,9.28
105,Umm Lajj,17,SA,1561503190,62,25.02,37.27,87.19,12.82
106,Ilulissat,75,GL,1561503190,65,69.22,-51.1,46.4,8.05
107,Magadan,79,RU,1561502971,80,59.56,150.8,46.15,3.04
108,Nangal,0,IN,1561503190,50,31.38,76.38,82.51,3.06
109,Jilib,8,SO,1561502971,96,0.49,42.79,71.89,3.78
110,Pacific Grove,1,US,1561503191,50,36.62,-121.92,87.01,23.04
111,Nandu,90,CN,1561503191,88,31.44,119.33,77.0,4.47
112,Imeni Zhelyabova,100,RU,1561503191,74,58.95,36.6,52.63,4.74
113,Touros,20,BR,1561503192,83,-5.2,-35.46,77.0,4.7
114,Kavaratti,53,IN,1561502975,79,10.57,72.64,82.69,14.54
115,Laramie,75,US,1561502976,35,41.31,-105.59,73.99,11.41
116,Makakilo City,75,US,1561502899,100,21.35,-158.09,80.6,5.82
117,Ouallam,28,NE,1561503192,41,14.32,2.08,91.87,17.81
118,Mahibadhoo,97,MV,1561503193,76,3.78,72.97,83.23,7.7
119,Naze,96,NG,1561503193,96,5.43,7.07,71.53,3.85
120,Souillac,0,FR,1561503193,69,45.6,-0.6,77.0,6.93
121,Bambous Virieux,75,MU,1561502977,83,-20.34,57.76,73.4,10.29
122,Yar-Sale,71,RU,1561502977,68,66.83,70.83,43.09,9.17
123,Binga,0,ZW,1561503193,68,-17.62,27.34,57.67,4.65
124,Abu Dhabi,36,AE,1561503194,75,24.47,54.37,93.2,6.93
125,Cidreira,100,BR,1561503194,86,-30.17,-50.22,56.95,14.72
126,Churapcha,43,RU,1561503194,45,62.0,132.43,65.95,4.97
127,Chiang Rai,20,TH,1561503194,100,19.9,99.84,75.2,3.36
128,Lompoc,90,US,1561502915,77,34.64,-120.46,75.99,5.82
129,Tuktoyaktuk,90,CA,1561503194,69,69.44,-133.03,39.2,20.8
130,Sangar,100,RU,1561503195,58,63.92,127.47,67.57,6.35
131,Labuhan,3,ID,1561503195,90,-2.54,115.51,75.49,0.13
132,Dudinka,75,RU,1561502979,93,69.41,86.18,37.4,8.95
133,Ouesso,70,CG,1561503195,92,1.61,16.05,71.35,2.82
134,Arraial do Cabo,0,BR,1561503196,94,-22.97,-42.02,71.6,6.93
135,Hambantota,100,LK,1561503196,80,6.12,81.12,82.51,19.44
136,Hami,53,CN,1561503196,30,42.84,93.51,70.99,15.82
137,Narsaq,75,GL,1561503196,51,60.91,-46.05,60.8,6.93
138,Olinda,75,EC,1561503197,74,-2.03,-79.75,80.6,5.82
139,Axim,100,GH,1561503197,88,4.87,-2.24,76.21,11.18
140,Gallup,1,US,1561502981,7,35.53,-108.74,86.0,13.87
141,Lokosovo,98,RU,1561503197,57,61.13,74.84,50.83,11.36
142,Gat,0,SN,1561502981,78,14.69,-16.54,77.0,3.36
143,Boddam,75,GB,1561503198,81,57.47,-1.78,50.0,11.41
144,Longyearbyen,75,NO,1561502982,75,78.22,15.63,41.0,10.29
145,Bull Savanna,1,JM,1561503198,76,17.89,-77.59,82.51,5.41
146,Hualmay,60,PE,1561503198,85,-11.1,-77.61,62.89,18.3
147,Phalauda,0,IN,1561502982,65,29.18,77.82,84.85,2.53
148,Inirida,100,CO,1561503198,99,3.87,-67.92,71.35,2.51
149,Sao Joao da Ponte,3,BR,1561502994,48,-15.93,-44.01,67.93,2.8
150,Talnakh,75,RU,1561502995,93,69.49,88.39,37.4,8.95
151,Codrington,57,AU,1561502995,93,-28.95,153.24,57.2,2.24
152,Mamlyutka,0,KZ,1561502995,93,54.94,68.54,64.4,6.71
153,Bubaque,0,GW,1561502995,76,11.28,-15.83,79.81,14.65
154,Cherskiy,0,RU,1561502995,23,68.75,161.3,75.13,5.84
155,Dalby,90,AU,1561502996,82,-27.18,151.26,55.4,12.75
156,Billings,40,US,1561502976,46,45.79,-108.5,73.0,13.87
157,Dzilam Gonzalez,13,MX,1561502764,77,21.28,-88.93,81.97,29.48
158,Ponta do Sol,99,BR,1561502996,66,-20.63,-46.0,67.21,3.15
159,Maningrida,71,AU,1561502996,49,-12.05,134.23,69.01,13.29
160,Port Lincoln,0,AU,1561502996,55,-34.72,135.86,56.23,17.6
161,Arlit,14,NE,1561502997,20,18.74,7.39,94.21,9.98
162,Ust-Koksa,43,RU,1561502997,77,50.27,85.62,35.71,3.2
163,Lagoa,90,PT,1561502997,100,37.14,-8.45,69.01,9.17
164,Itamarandiba,74,BR,1561502824,92,-17.86,-42.86,60.19,3.51
165,Mulege,0,MX,1561502998,37,26.88,-111.98,86.29,9.51
166,Konevo,18,BG,1561502998,63,41.67,25.61,78.01,3.0
167,Ishigaki,75,JP,1561502998,94,24.34,124.16,78.8,8.1
168,Saint George,20,GR,1561502702,69,39.45,22.34,77.0,0.51
169,Port Elizabeth,1,US,1561502998,54,39.31,-74.98,87.01,6.93
170,Khash,0,IR,1561502999,16,28.22,61.21,66.13,6.08
171,Balabac,99,PH,1561502999,70,7.99,117.06,84.85,5.01
172,Santa Maria,75,BR,1561503003,87,-29.69,-53.81,51.8,5.82
173,Norrtalje,90,SE,1561503003,77,59.76,18.7,61.0,4.7
174,Manokwari,79,ID,1561503003,73,-0.87,134.08,79.27,3.36
175,Vahan,0,AZ,1561503004,84,40.58,45.4,52.45,1.77
176,Qaanaaq,97,GL,1561503004,80,77.48,-69.36,35.35,3.4
177,Arona,0,IT,1561502892,73,45.76,8.56,84.0,3.36
178,Ashqelon,0,IL,1561503004,83,31.67,34.57,78.8,3.36
179,Laguna,5,MX,1561503005,24,27.52,-110.01,95.0,14.99
180,Fare,65,PF,1561503005,77,-16.7,-151.02,79.27,12.73
181,Zhigansk,43,RU,1561503005,52,66.77,123.37,74.05,14.09
182,Ixtapa,20,MX,1561503006,49,20.71,-105.21,91.4,17.22
183,Najran,0,SA,1561503006,22,17.54,44.22,86.0,1.72
184,Manglisi,40,GE,1561503006,73,41.7,44.38,77.0,20.8
185,Huaquillas,40,EC,1561503006,33,-3.48,-80.24,89.6,6.93
186,Kharp,100,RU,1561503007,99,66.82,65.8,34.99,3.94
187,Thompson,90,CA,1561502889,82,55.74,-97.86,62.6,6.93
188,Tigil,0,RU,1561503007,59,57.8,158.67,61.99,12.57
189,Willmar,40,US,1561503007,41,45.12,-95.04,80.6,16.11
190,Seoul,1,KR,1561502996,77,37.57,126.98,73.4,2.24
191,Klaksvik,64,FO,1561503008,93,62.23,-6.59,50.0,8.05
192,Podgorica,0,ME,1561502742,39,42.44,19.26,86.0,10.29
193,Neyshabur,0,IR,1561503008,24,36.21,58.79,68.47,4.21
194,Skelleftea,2,SE,1561503008,93,64.75,20.95,52.0,2.24
195,Alice,40,US,1561503008,79,27.75,-98.07,86.0,14.99
196,Coahuayana,23,MX,1561503009,67,18.62,-100.35,85.21,2.53
197,Soe,0,EE,1561503009,82,57.91,26.05,59.0,2.24
198,Baherden,0,TM,1561503009,14,38.44,57.43,75.31,5.61
199,Lebu,40,ET,1561503009,72,8.96,38.73,60.8,2.82
200,Grindavik,90,IS,1561503010,93,63.84,-22.43,51.8,19.46
201,Tilichiki,92,RU,1561503010,93,60.47,166.1,47.95,6.89
202,Jiangyou,100,CN,1561503010,98,31.78,104.73,63.79,2.24
203,Tasiilaq,20,GL,1561503010,80,65.61,-37.64,41.0,9.17
204,Bahia Blanca,0,AR,1561503011,46,-38.72,-62.27,42.91,6.73
205,Viedma,22,AR,1561502752,56,-40.81,-62.99,43.09,5.73
206,Avarua,77,CK,1561503011,61,-21.21,-159.78,77.0,13.87
207,Pleshanovo,94,RU,1561503011,72,57.46,28.17,59.0,2.24
208,Chernyakhiv,20,UA,1561503011,81,50.46,28.67,59.65,2.42
209,Santa Rosa,0,AR,1561503013,43,-36.62,-64.29,45.61,9.66
210,Yellowknife,40,CA,1561503016,31,62.45,-114.38,73.4,6.93
211,Airai,0,TL,1561503016,52,-8.93,125.41,74.05,2.82
212,Changji,2,CN,1561503016,77,32.07,116.17,76.57,4.12
213,Soyo,67,AO,1561503017,78,-6.13,12.37,74.41,12.15
214,Lakselv,98,NO,1561503017,54,70.05,24.96,53.6,20.8
215,Bodden Town,40,KY,1561503017,89,19.28,-81.25,86.0,4.7
216,Ambon,0,FR,1561503017,93,47.55,-2.56,66.99,11.41
217,Tveit,75,NO,1561503018,93,59.92,5.81,60.01,8.05
218,Vaasa,75,FI,1561503018,93,63.1,21.62,55.99,4.7
219,Acapulco,90,MX,1561503018,66,16.86,-99.88,87.8,11.41
220,Santo Augusto,100,BR,1561503018,94,-27.85,-53.78,51.73,13.53
221,Dongdu,49,CN,1561503019,65,35.85,117.7,73.51,8.39
222,Qaqortoq,75,GL,1561503019,51,60.72,-46.03,60.8,6.93
223,Waddan,0,LY,1561503019,25,29.16,16.14,85.03,7.78
224,Ihosy,1,MG,1561503019,95,-22.4,46.13,53.17,4.72
225,Krasnyy Bogatyr,87,RU,1561503019,85,56.01,41.13,48.85,3.27
226,Kargasok,84,RU,1561503020,92,59.06,80.87,60.19,4.29
227,Frogner,75,NO,1561503020,93,60.02,11.1,57.0,1.03
228,Belmonte,15,PT,1561503020,93,40.36,-7.35,56.95,0.38
229,Dunedin,0,NZ,1561503020,49,-45.87,170.5,53.01,5.99
230,Iqaluit,40,CA,1561503020,61,63.75,-68.52,50.0,6.93
231,Rawson,67,AR,1561503021,55,-43.3,-65.11,40.93,13.58
232,Pisco,0,PE,1561503021,30,-13.71,-76.2,71.6,13.87
233,Ngara,75,TZ,1561503021,89,-2.51,30.66,62.71,1.77
234,Jalu,0,LY,1561503021,38,29.03,21.55,81.97,12.37
235,Richards Bay,67,ZA,1561503022,78,-28.77,32.06,66.31,6.71
236,Vieste,0,IT,1561503022,94,41.88,16.18,75.99,11.41
237,Zheshart,6,RU,1561503023,84,62.09,49.59,39.85,2.53
238,Avera,1,US,1561503023,55,33.19,-82.53,91.4,9.17
239,Pangkalanbuun,33,ID,1561502835,97,-2.68,111.62,75.85,3.53
240,Port Macquarie,75,AU,1561503023,100,-31.43,152.91,57.0,6.93
241,Upernavik,100,GL,1561503023,98,72.79,-56.15,33.19,5.08
242,Hovd,20,NO,1561503024,87,63.83,10.7,51.01,10.29
243,Gondar,40,PT,1561503024,93,41.82,-8.78,64.0,10.29
244,Chaplygin,0,RU,1561503024,67,53.24,39.97,57.2,6.71
245,Castro,90,CL,1561503025,100,-42.48,-73.76,44.6,16.11
246,Shakawe,0,BW,1561503025,32,-18.36,21.84,52.45,3.74
247,Poum,32,MK,1561503025,87,41.28,20.71,57.49,4.56
248,Muros,0,ES,1561503025,93,42.77,-9.06,64.0,10.58
249,Monrovia,75,LR,1561503025,94,6.33,-10.8,77.0,8.97
250,Cap-aux-Meules,5,CA,1561502827,54,47.38,-61.86,57.2,8.05
251,Innisfail,75,CA,1561503026,72,52.02,-113.95,59.0,6.93
252,Porto Belo,0,BR,1561503026,78,-27.15,-48.54,77.0,5.82
253,Hof,25,DE,1561503030,57,50.32,11.92,73.99,1.99
254,Kirensk,56,RU,1561503031,42,57.78,108.12,69.19,14.07
255,Tucurui,100,BR,1561503032,72,-3.77,-49.67,76.03,2.01
256,Rabo de Peixe,40,PT,1561503032,77,37.8,-25.58,66.2,12.75
257,Osa,13,RU,1561503032,87,57.28,55.46,45.25,4.92
258,Contai,75,IN,1561503033,74,21.78,87.75,83.77,14.16
259,Zhangye,100,CN,1561503033,52,38.94,100.46,61.99,8.25
260,Tomino,75,RU,1561503033,87,54.95,61.17,55.4,8.95
261,Tura,100,IN,1561503033,85,25.52,90.21,80.17,10.31
262,Kiunga,97,PG,1561503034,87,-6.12,141.3,76.57,5.26
263,Saldanha,29,PT,1561503034,73,41.42,-6.55,63.07,2.19
264,Salinas,1,US,1561502806,50,36.67,-121.66,87.01,23.04
265,Arkadelphia,20,US,1561502982,55,34.12,-93.05,89.6,5.82
266,Ostrovnoy,26,RU,1561503034,75,68.05,39.51,43.27,3.27
267,Maldonado,40,UY,1561502786,53,-34.91,-54.96,50.0,18.34
268,Abu Samrah,0,SY,1561503035,45,35.3,37.18,78.19,8.86
269,Mar del Plata,81,AR,1561503035,57,-46.43,-67.52,42.01,16.87
270,Ust-Omchug,100,RU,1561503035,47,61.13,149.63,56.59,6.38
271,Batemans Bay,94,AU,1561503035,82,-35.71,150.18,54.0,3.0
272,Ketchikan,1,US,1561503035,56,55.34,-131.65,68.0,14.99
273,Ambilobe,94,MG,1561503036,83,-13.19,49.05,72.25,3.62
274,Coquimbo,0,CL,1561503036,76,-29.95,-71.34,53.6,9.17
275,Yerbogachen,17,RU,1561503036,53,61.28,108.01,70.63,5.48
276,Norman Wells,90,CA,1561503036,81,65.28,-126.83,51.8,14.99
277,Salinopolis,35,BR,1561503036,76,-0.61,-47.36,82.15,16.28
278,Atar,0,MR,1561503037,12,20.52,-13.05,96.01,16.28
279,Harrisburg,1,US,1561502854,39,40.27,-76.89,84.2,12.75
280,Yangambi,87,CD,1561503037,97,0.77,24.47,69.73,2.66
281,Grafton,82,AU,1561503037,82,-29.69,152.93,57.2,8.05
282,Solnechnyy,89,RU,1561503038,68,50.72,136.64,52.09,6.71
283,Namibe,75,AO,1561503038,84,-15.19,12.15,64.15,13.38
284,Krasnyye Baki,0,RU,1561503038,81,57.13,45.16,43.99,3.38
285,Port Blair,100,IN,1561502993,79,11.67,92.75,82.87,20.98
286,Pamekasan,2,ID,1561502799,80,-7.16,113.47,76.93,5.46
287,Southbridge,90,US,1561503031,100,42.08,-72.03,73.0,8.05
288,Korhogo,94,CI,1561503039,90,9.46,-5.63,74.59,6.82
289,Hirara,40,JP,1561503039,88,24.8,125.28,80.6,3.36
290,Vao,100,EE,1561503039,74,59.1,26.19,56.77,5.84
291,Atambua,0,ID,1561503039,68,-9.11,124.89,75.49,15.7
292,Belfast,15,GB,1561503040,87,54.6,-5.93,57.2,4.7
293,Grand Gaube,75,MU,1561503043,83,-20.01,57.66,73.4,10.29
294,Broken Hill,0,AU,1561503043,81,-31.97,141.45,44.6,8.05
295,Marawi,100,PH,1561503044,90,8.0,124.29,77.0,5.01
296,Camocim,26,BR,1561502873,94,-2.9,-40.84,72.61,5.77
297,Georgiyevka,82,RU,1561503044,81,52.25,40.45,54.61,7.16
298,Anguillara Sabazia,0,IT,1561503044,83,42.08,12.28,78.01,4.7
299,Lokomotivnyy,7,RU,1561503044,85,53.01,60.57,52.99,10.71
300,Prachuap Khiri Khan,100,TH,1561503045,95,11.81,99.79,74.05,7.11
301,Felanitx,0,ES,1561503045,83,39.47,3.15,78.8,6.93
302,Margate,0,AU,1561503045,86,-43.03,147.26,39.99,8.05
303,Omagari,75,JP,1561503045,93,39.45,140.48,62.6,3.36
304,Bela,9,PK,1561503046,66,26.23,66.31,81.25,5.08
305,Hobyo,35,SO,1561503046,75,5.35,48.53,76.75,17.9
306,Malanje,0,AO,1561503046,73,-9.54,16.35,58.21,3.22
307,Wucheng,85,CN,1561503046,99,29.09,119.57,78.01,1.9
308,Quatre Cocos,75,MU,1561503047,83,-20.21,57.76,73.4,10.29
309,Kautokeino,97,NO,1561503018,70,69.01,23.04,45.61,14.0
310,Klenovyy,8,UA,1561503047,80,48.12,39.46,59.11,6.4
311,Kimbe,86,PG,1561503047,63,-5.56,150.15,85.75,4.76
312,Sundsvall,100,SE,1561503047,100,62.39,17.31,57.99,3.11
313,Guozhen,24,CN,1561503047,82,29.3,113.14,77.65,3.06
314,Yamethin,98,MM,1561503048,80,20.43,96.14,79.27,14.92
315,Ahipara,46,NZ,1561503048,74,-35.17,173.16,58.21,10.54
316,Alta,100,NO,1561503048,66,69.97,23.27,53.6,9.17
317,Tortoli,5,IT,1561503048,60,39.93,9.66,75.2,9.17
318,Tondano,20,ID,1561503048,94,1.3,124.91,73.4,3.36
319,Swellendam,72,ZA,1561503049,72,-34.02,20.44,60.8,19.46
320,Bandarbeyla,65,SO,1561503049,64,9.49,50.81,79.09,22.53
321,Port Shepstone,70,ZA,1561503050,91,-30.74,30.45,52.81,3.38
322,Guaruja,0,BR,1561502957,46,-23.99,-46.26,73.4,4.7
323,Bogale,79,MM,1561503050,84,16.29,95.4,81.07,3.33
324,Gwanda,0,ZW,1561503050,91,-20.94,29.0,54.25,8.03
325,Yumen,100,CN,1561503050,33,40.29,97.04,69.37,4.47
326,Sanandaj,0,IR,1561503051,32,35.31,47.0,68.0,3.47
327,Salym,100,RU,1561503051,78,60.06,71.48,47.95,8.46
328,Martyush,86,RU,1561503051,92,56.4,61.89,51.19,10.0
329,Te Anau,2,NZ,1561503051,70,-45.41,167.72,43.27,7.43
330,Syracuse,40,US,1561502872,50,43.05,-76.15,80.6,12.75
331,Hammerfest,75,NO,1561503052,87,70.66,23.68,46.4,21.92
332,Ndago,93,UG,1561503052,96,-0.97,29.98,62.53,1.99
333,Anadyr,40,RU,1561503052,53,64.73,177.51,51.8,8.95
334,De Land,1,US,1561503053,51,40.12,-88.65,84.99,19.46
335,Phan Thiet,89,VN,1561503053,85,10.93,108.1,78.19,4.38
336,Chikitigarh,47,IN,1561503053,80,19.2,84.62,79.27,2.33
337,Nanortalik,90,GL,1561503053,85,60.14,-45.24,44.89,7.02
338,Mwinilunga,0,ZM,1561503057,49,-11.73,24.43,53.71,5.03
339,Cartagena,90,ES,1561503057,78,37.63,-1.0,75.2,9.17
340,Bethel,75,US,1561503058,63,60.79,-161.76,66.2,6.93
341,Victor Harbor,0,AU,1561503058,66,-35.55,138.62,54.0,6.93
342,Miri,33,NG,1561503058,80,10.31,9.75,74.77,5.91
343,Porterville,1,US,1561502879,16,36.07,-119.02,98.01,10.29
344,Northam,20,GB,1561503059,100,51.04,-4.21,63.0,4.7
345,Puerto Escondido,40,MX,1561503059,52,15.86,-97.07,89.6,11.41
346,Konongo,99,GH,1561503059,99,6.62,-1.21,69.19,3.53
347,Smithers,75,CA,1561503060,45,54.78,-127.17,68.0,8.05
348,Oltu,0,TR,1561503060,97,40.55,42.0,52.63,1.43
349,Bahir Dar,0,ET,1561503060,88,11.59,37.39,58.93,3.71
350,Katsuura,75,JP,1561503060,88,33.93,134.5,73.99,11.41
351,Myitkyina,100,MM,1561503061,99,25.38,97.4,72.43,1.32
352,Guaraniacu,87,BR,1561503061,85,-25.1,-52.88,60.37,3.4
353,Oktyabrskoye,0,RU,1561503061,81,56.73,85.44,61.0,2.24
354,Yarada,0,IN,1561503061,83,17.65,83.27,82.15,1.41
355,Warmbad,14,DE,1561503061,69,50.67,13.08,75.0,2.24
356,San Andres,99,PH,1561503062,84,13.32,122.68,82.51,2.82
357,Hamina,100,FI,1561503062,51,60.57,27.2,62.6,8.05
358,Kaitangata,0,NZ,1561503062,70,-46.28,169.85,43.0,5.01
359,Gizo,0,IL,1561503063,83,31.8,34.94,78.8,3.36
360,Mahon,75,IE,1561503063,93,51.89,-8.4,60.8,2.24
361,Saint-Philippe,90,CA,1561503063,88,45.36,-73.48,77.0,5.82
362,Curup,68,ID,1561503063,94,-3.47,102.53,64.69,3.87
363,Anito,96,PH,1561503064,80,12.45,125.29,82.87,4.7
364,Ugra,98,RU,1561503064,80,54.78,34.32,54.79,3.67
365,Brae,70,GB,1561503064,81,60.4,-1.35,50.0,8.05
366,Manggar,40,ID,1561503064,91,-2.88,108.27,79.09,4.41
367,Iranshahr,0,IR,1561503065,43,27.21,60.69,76.57,1.28
368,Cockburn Town,39,TC,1561503065,80,21.46,-71.14,81.07,15.17
369,Talaya,0,RU,1561503065,81,55.79,84.89,57.0,2.24
370,Dawson,1,US,1561503065,48,39.85,-89.46,86.0,16.11
371,Zhezkazgan,51,KZ,1561503065,25,47.8,67.71,75.85,5.12
372,Golden,40,CA,1561503066,32,51.3,-116.96,69.8,4.7
373,Cayenne,0,GF,1561503066,88,4.94,-52.33,78.8,4.32
374,Manzil Kamil,0,TN,1561503066,94,35.62,10.67,77.0,5.82
375,Bodaybo,4,RU,1561503067,56,57.85,114.2,62.89,2.91
